,title,date,stock
88,NIO shares are trading lower after the company priced a 72 million ADS offering at $5.95 per ADS.,2020-06-11 07:49:00-04:00,NIO
89,"JP Morgan Downgrades KB Home to Underweight, Announces $32 Price Target",2020-06-11 07:47:00-04:00,KBH
90,Marcus Corp. Reports Will Open 6 Theatres As Of Jun. 19,2020-06-11 07:46:00-04:00,MCS
91,"UBS Maintains Buy on Tenet Healthcare, Lowers Price Target to $30",2020-06-11 07:42:00-04:00,THC
92,12 Industrials Stocks Moving In Thursday's Pre-Market Session,2020-06-11 07:42:00-04:00,GOL
93,Ford Recalls 2.5M Cars In The US As Faulty Door Latch Can Potentially Cause Injury,2020-06-11 07:42:00-04:00,F
94,William Blair Downgrades GrubHub to Market Perform,2020-06-11 07:41:00-04:00,GRUB
95,"UBS Maintains Neutral on Northrop Grumman, Lowers Price Target to $373",2020-06-11 07:41:00-04:00,NOC
96,"UBS Maintains Buy on Lockheed Martin, Lowers Price Target to $475",2020-06-11 07:39:00-04:00,LMT
97,"Wells Fargo Upgrades Westlake Chemical to Overweight, Raises Price Target to $70",2020-06-11 07:37:00-04:00,WLK
98,"JP Morgan Upgrades Taylor Morrison Home to Overweight, Announces $27 Price Target",2020-06-11 07:35:00-04:00,TMHC
99,"UBS Maintains Buy on HCA Healthcare, Lowers Price Target to $137",2020-06-11 07:34:00-04:00,HCA
100,PAR Tech Reports Its ParTech Subsidiary Partners With Techknow For Expansion Of Drive-Thru Solutions,2020-06-11 07:34:00-04:00,PAR
101,16 Communication Services Stocks Moving In Thursday's Pre-Market Session,2020-06-11 07:33:00-04:00,FENG
102,"UBS Maintains Neutral on General Dynamics, Lowers Price Target to $171",2020-06-11 07:32:00-04:00,GD
103,"ServiceMaster Sees Q2 Adj. EBITDA From Continuing Operations $105M-$115M, Sales $510M-$525M vs $476M Estimate",2020-06-11 07:32:00-04:00,SERV
104,"JP Morgan Upgrades PulteGroup to Overweight, Announces $41 Price Target",2020-06-11 07:32:00-04:00,PHM
105,"JP Morgan Upgrades Meritage Homes to Overweight, Announces $88 Price Target",2020-06-11 07:31:00-04:00,MTH
106,ONEOK shares are trading lower after the company announced a common stock offering of 26 million shares.,2020-06-11 07:31:00-04:00,OKE
107,"UBS Maintains Buy on Yum Brands, Raises Price Target to $108",2020-06-11 07:28:00-04:00,YUM
108,"UBS Maintains Neutral on McDonald's, Raises Price Target to $205",2020-06-11 07:25:00-04:00,MCD
109,Tyson Foods shares are lower. Weakness potentially related to recent DOJ antitrust probe.,2020-06-11 07:24:00-04:00,TSN
110,"UBS Maintains Neutral on Gap, Raises Price Target to $12",2020-06-11 07:23:00-04:00,GPS
111,GrubHub shares are trading higher after Just Eat Takeaway announced it will acquire the company in an all-stock merger.,2020-06-11 07:22:00-04:00,GRUB
112,General Mills shares are trading lower after Bernstein downgraded the company's stock from Market Perform to Underperform and lowered its price target from $57 to $50.,2020-06-11 07:22:00-04:00,GIS
113,Kellogg shares are trading lower after Bernstein downgraded the company's stock from Market Perform to Underperform and lowered its price target from $64 to $55.,2020-06-11 07:12:00-04:00,K
114,"JP Morgan Downgrades D.R. Horton to Neutral, Announces $59 Price Target",2020-06-11 07:12:00-04:00,DHI
115,ONEOK Announces 26M Share Common Stock Offering,2020-06-11 07:06:00-04:00,OKE
116,Lannett Says Anticipates Biosimilar Application for Insulin Glargine to Be Submitted by End of Calendar Year 2022,2020-06-11 06:53:00-04:00,LCI
117,"Bernstein Downgrades Kellogg to Underperform, Lowers Price Target to $55",2020-06-11 06:51:00-04:00,K
118,"Bernstein Downgrades General Mills to Underperform, Lowers Price Target to $50",2020-06-11 06:48:00-04:00,GIS
119,"Mallinckrodt Highlights Publication Of Findings From Medical Chart Study To Assess Use Of Terlipressin, Other Vasopressors In Hospitalized Patients With Hepatorenal Syndrome Type 1",2020-06-11 06:46:00-04:00,MNK
120,"Bernstein Downgrades JM Smucker to Underperform, Lowers Price Target to $93",2020-06-11 06:45:00-04:00,SJM
121,European Commission Recommends Opening All EU Internal Borders As Of Jun. 15,2020-06-11 06:35:00-04:00,VGK
122,"HC2 Holdings Names Wayne Barr Interim CEO, Succeeding Philip Falcone, Effective Immediately",2020-06-11 06:33:00-04:00,HCHC
123,"Piper Sandler Downgrades Progressive to Neutral, Announces $88 Price Target",2020-06-11 06:32:00-04:00,PGR
124,Target Raises Qtr. Dividend From $0.66 To $0.68/Share,2020-06-11 06:31:00-04:00,TGT
125,"Credit Suisse Downgrades GrubHub to Neutral, Raises Price Target to $75",2020-06-11 06:30:00-04:00,GRUB
126,"Barclays Downgrades GrubHub to Equal-Weight, Lowers Price Target to $65",2020-06-11 06:28:00-04:00,GRUB
127,Twitter To Ask Users If They Have Read The Article Before Retweeting,2020-06-11 06:15:00-04:00,TWTR
128,A Peek Into The Markets: US Stock Futures Tumble Ahead Of Jobless Claims Report,2020-06-11 05:56:00-04:00,GRUB
129,Regeneron Highlights Collaborations on Dupixent During Sanofi R&D Investor Event,2020-06-11 05:55:00-04:00,SNY
130,Philips Lumify Handheld Ultrasound Solution Launched in Japan,2020-06-11 05:52:00-04:00,PHG
131,CNHI Brand  IVECO BUS delivers 145 Crossway Low Entry Line buses to ARRIVA in the Czech Republic,2020-06-11 05:48:00-04:00,CNHI
132,General Motors' Electric Vehicle Unit Hires Former Tesla Head Of Vehicle Safety,2020-06-11 05:41:00-04:00,GM
133,Lilly's Chief Scientist Says Co's COVID-19 Treatment Could be Authorized for Use by September,2020-06-11 05:40:00-04:00,LLY
134,PG&E Announces Selection of New Board Upon Bankruptcy Emergence as Part of Reimagining Company for the Future,2020-06-11 05:36:00-04:00,PCG
135,BTIG Initiates Coverage On Yelp with Neutral Rating,2020-06-11 05:35:00-04:00,YELP
136,Novartis Says FDA Approves Updated Beovu Label to Include Additional Safety Information,2020-06-11 05:34:00-04:00,NVS
137,BTIG Initiates Coverage On GrubHub with Neutral Rating,2020-06-11 05:29:00-04:00,GRUB
138,NIO Prices 72M ADS Offering @$5.95/ADS,2020-06-11 05:20:00-04:00,NIO
139,Amazon Places One-Year Moratorium On Police Use Of Facial Recognition Technology,2020-06-11 05:15:00-04:00,IBM
140,"KeyBanc Maintains Overweight on Cimarex Energy, Raises Price Target to $43",2020-06-11 04:51:00-04:00,XEC
141,"KeyBanc Maintains Overweight on SM Energy, Raises Price Target to $8",2020-06-11 04:50:00-04:00,SM
142,"KeyBanc Maintains Overweight on Pioneer Natural Resources, Raises Price Target to $123",2020-06-11 04:48:00-04:00,PXD
143,"KeyBanc Maintains Overweight on Parsley Energy, Raises Price Target to $14",2020-06-11 04:48:00-04:00,PE
144,"KeyBanc Maintains Overweight on MSC Industrial Direct Co, Raises Price Target to $82",2020-06-11 04:47:00-04:00,MSM
145,"KeyBanc Maintains Overweight on Kennametal, Raises Price Target to $38",2020-06-11 04:46:00-04:00,KMT
